"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
3,"Baseline","Motion",1070,0.675,0.645,"LD"
3,"Baseline","Motion",1080,0.5,0.355,"LD"
3,"Baseline","Motion",1090,1.275,0.49,"LD"
3,"Baseline","Motion",1100,1.25,0.5,"LD"
3,"Baseline","Motion",1110,1.375,0.31,"LD"
3,"Baseline","Motion",1120,1.375,0.495,"LD"
3,"Baseline","Motion",1130,0.85,0.41,"LD"
3,"Baseline","Motion",1140,0.425,0.27,"LD"
3,"Baseline","Motion",1150,0.35,0.26,"LD"
3,"Baseline","Motion",1160,0.225,0.225,"LD"
3,"Baseline","Motion",1170,0,0,"LD"
3,"Baseline","Motion",1180,0,0,"LD"
3,"Baseline","Motion",1190,0,0,"LD"
3,"Baseline","Motion",1200,0,0,"LD"
3,"Baseline","Motion",1210,0.025,0.025,"LD"
3,"Baseline","Motion",1220,0.075,0.055,"LD"
3,"Baseline","Motion",1230,0.15,0.15,"LD"
3,"Baseline","Motion",1240,0.025,0.025,"LD"
3,"Baseline","Motion",1250,0,0,"LD"
3,"Baseline","Motion",1260,0.325,0.325,"LD"
3,"Baseline","Motion",1270,0.775,0.45,"LD"
3,"Baseline","Motion",1280,0.6,0.36,"LD"
3,"Baseline","Motion",1290,0.225,0.225,"LD"
3,"Baseline","Motion",1300,0.025,0.025,"LD"
3,"Baseline","Motion",1310,0.25,0.25,"LD"
3,"Baseline","Motion",1320,0.4,0.4,"LD"
3,"Baseline","Motion",1330,0.6,0.43,"LD"
3,"Baseline","Motion",1340,0.525,0.26,"LD"
3,"Baseline","Motion",1350,1.425,0.345,"LD"
3,"Baseline","Motion",1360,1.225,0.295,"LD"
3,"Baseline","Motion",1370,1.5,0.375,"LD"
3,"Baseline","Motion",1380,0.9,0.375,"LD"
3,"Baseline","Motion",1390,0.8,0.265,"LD"
3,"Baseline","Motion",1400,0.7,0.26,"LD"
3,"Baseline","Motion",1410,1.075,0.295,"LD"
3,"Baseline","Motion",1420,0.975,0.385,"LD"
3,"Baseline","Motion",1430,0.75,0.33,"LD"
3,"Shocks","Motion",0,0.575,0.235,"LD"
3,"Shocks","Motion",10,0.275,0.145,"LD"
3,"Shocks","Motion",20,0.075,0.055,"LD"
3,"Shocks","Motion",30,0.15,0.15,"LD"
3,"Shocks","Motion",40,0.025,0.025,"LD"
3,"Shocks","Motion",50,0,0,"LD"
3,"Shocks","Motion",60,0,0,"LD"
3,"Shocks","Motion",70,0,0,"LD"
3,"Shocks","Motion",80,0,0,"LD"
3,"Shocks","Motion",90,0,0,"LD"
3,"Shocks","Motion",100,0,0,"LD"
3,"Shocks","Motion",110,0,0,"LD"
3,"Shocks","Motion",120,0,0,"LD"
3,"Shocks","Motion",130,0,0,"LD"
3,"Shocks","Motion",140,0,0,"LD"
3,"Shocks","Motion",150,0,0,"LD"
3,"Shocks","Motion",160,0,0,"LD"
3,"Shocks","Motion",170,0,0,"LD"
3,"Shocks","Motion",180,0,0,"LD"
3,"Shocks","Motion",190,0,0,"LD"
3,"Shocks","Motion",200,0,0,"LD"
3,"Shocks","Motion",210,0,0,"LD"
3,"Shocks","Motion",220,0,0,"LD"
3,"Shocks","Motion",230,0,0,"LD"
3,"Shocks","Motion",240,0,0,"LD"
3,"Shocks","Motion",250,0.05,0.05,"LD"
3,"Shocks","Motion",260,0,0,"LD"
3,"Shocks","Motion",270,0,0,"LD"
3,"Shocks","Motion",280,0,0,"LD"
3,"Shocks","Motion",290,0,0,"LD"
