"Mouse","Behavior","Stage","first","parcial","total","porc"
6,"Motion","Baseline",FALSE,32.27,42.54,75.8580159849553
6,"Motion","Baseline",TRUE,10.27,42.54,24.1419840150447
6,"Motion","Post",FALSE,15.04,40.46,37.1725160652496
6,"Motion","Post",TRUE,25.42,40.46,62.8274839347504
6,"Motion","Shocks",FALSE,7.13,26.05,27.3704414587332
6,"Motion","Shocks",TRUE,18.92,26.05,72.6295585412668
6,"Nest","Baseline",FALSE,51.45,68.57,75.032813183608
6,"Nest","Baseline",TRUE,17.12,68.57,24.967186816392
6,"Nest","Post",FALSE,108.49,172.01,63.07191442358
6,"Nest","Post",TRUE,63.52,172.01,36.92808557642
6,"Nest","Shocks",FALSE,122.39,178.77,68.4622699558091
6,"Nest","Shocks",TRUE,56.38,178.77,31.5377300441909
7,"Food","Baseline",FALSE,9.71,11.76,82.5680272108844
7,"Food","Baseline",TRUE,2.05,11.76,17.4319727891156
7,"Food","Post",FALSE,1.87,16.07,11.6365899191039
7,"Food","Post",TRUE,14.2,16.07,88.3634100808961
7,"Food","Shocks",FALSE,1.24,12.89,9.61986035686579
7,"Food","Shocks",TRUE,11.65,12.89,90.3801396431342
7,"Motion","Baseline",FALSE,20.46,22.72,90.0528169014085
7,"Motion","Baseline",TRUE,2.26,22.72,9.94718309859155
7,"Motion","Post",FALSE,4.86,26.7,18.2022471910112
7,"Motion","Post",TRUE,21.84,26.7,81.7977528089888
7,"Motion","Shocks",FALSE,0.06,9.09,0.66006600660066
7,"Motion","Shocks",TRUE,9.03,9.09,99.3399339933993
7,"Nest","Baseline",FALSE,60.41,74.96,80.5896478121665
7,"Nest","Baseline",TRUE,14.55,74.96,19.4103521878335
7,"Nest","Post",FALSE,54.59,117.51,46.4556207982299
7,"Nest","Post",TRUE,62.92,117.51,53.5443792017701
7,"Nest","Shocks",FALSE,45.84,81.47,56.2661102246226
7,"Nest","Shocks",TRUE,35.63,81.47,43.7338897753774
