"Mouse","Stage","Behavior","Time","Amplitude","SEM","Condition"
1,"Baseline","Motion",1060,0,0,"DD"
1,"Baseline","Motion",1070,0,0,"DD"
1,"Baseline","Motion",1080,0.775,0.39,"DD"
1,"Baseline","Motion",1090,2.075,0.76,"DD"
1,"Baseline","Motion",1100,2.775,0.33,"DD"
1,"Baseline","Motion",1110,1.225,0.425,"DD"
1,"Baseline","Motion",1120,0.95,0.53,"DD"
1,"Baseline","Motion",1130,0.175,0.175,"DD"
1,"Baseline","Motion",1140,0.325,0.325,"DD"
1,"Baseline","Motion",1150,0.325,0.275,"DD"
1,"Baseline","Motion",1160,0.425,0.425,"DD"
1,"Baseline","Motion",1170,0.375,0.375,"DD"
1,"Baseline","Motion",1180,0.55,0.36,"DD"
1,"Baseline","Motion",1190,0.2,0.2,"DD"
1,"Baseline","Motion",1200,0.225,0.225,"DD"
1,"Baseline","Motion",1210,0.2,0.18,"DD"
1,"Baseline","Motion",1220,0.375,0.32,"DD"
1,"Baseline","Motion",1230,0.075,0.075,"DD"
1,"Baseline","Motion",1240,0.475,0.385,"DD"
1,"Baseline","Motion",1250,0.4,0.4,"DD"
1,"Baseline","Motion",1260,0.9,0.48,"DD"
1,"Baseline","Motion",1270,1.025,0.515,"DD"
1,"Baseline","Motion",1280,1.45,0.44,"DD"
1,"Baseline","Motion",1290,1.4,0.52,"DD"
1,"Baseline","Motion",1300,0.65,0.435,"DD"
1,"Baseline","Motion",1310,0.75,0.62,"DD"
1,"Baseline","Motion",1320,1.3,0.495,"DD"
1,"Baseline","Motion",1330,0.2,0.2,"DD"
1,"Baseline","Motion",1340,0.725,0.425,"DD"
1,"Baseline","Motion",1350,0.625,0.37,"DD"
1,"Baseline","Motion",1360,1.65,0.68,"DD"
1,"Baseline","Motion",1370,0.675,0.33,"DD"
1,"Baseline","Motion",1380,0.475,0.335,"DD"
1,"Baseline","Motion",1390,0.95,0.675,"DD"
1,"Baseline","Motion",1400,0.475,0.385,"DD"
1,"Baseline","Motion",1410,0.25,0.19,"DD"
1,"Baseline","Motion",1420,0.05,0.03,"DD"
1,"Baseline","Motion",1430,0.05,0.05,"DD"
1,"Post","Motion",0,0,0,"DD"
1,"Post","Motion",10,0,0,"DD"
1,"Post","Motion",20,0.1,0.1,"DD"
1,"Post","Motion",30,0,0,"DD"
1,"Post","Motion",40,0,0,"DD"
1,"Post","Motion",50,0,0,"DD"
1,"Post","Motion",60,0.15,0.15,"DD"
1,"Post","Motion",70,0,0,"DD"
1,"Post","Motion",80,0.15,0.15,"DD"
1,"Post","Motion",90,0.05,0.05,"DD"
1,"Post","Motion",100,0.05,0.05,"DD"
1,"Post","Motion",110,0.05,0.05,"DD"
1,"Post","Motion",120,0,0,"DD"
1,"Post","Motion",130,0,0,"DD"
1,"Post","Motion",140,0.475,0.38,"DD"
1,"Post","Motion",150,0.15,0.15,"DD"
1,"Post","Motion",160,0,0,"DD"
1,"Post","Motion",170,0,0,"DD"
1,"Post","Motion",180,0.05,0.05,"DD"
1,"Post","Motion",190,0,0,"DD"
1,"Post","Motion",200,0.1,0.1,"DD"
1,"Post","Motion",210,0,0,"DD"
1,"Post","Motion",220,0.2,0.17,"DD"
1,"Post","Motion",230,0,0,"DD"
1,"Post","Motion",240,0,0,"DD"
1,"Post","Motion",250,0,0,"DD"
1,"Post","Motion",260,0,0,"DD"
1,"Post","Motion",270,0.125,0.125,"DD"
1,"Post","Motion",280,0.15,0.15,"DD"
1,"Post","Motion",290,0.325,0.325,"DD"
1,"Post","Motion",300,0.125,0.125,"DD"
1,"Post","Motion",310,0.15,0.15,"DD"
1,"Post","Motion",320,0.175,0.175,"DD"
1,"Post","Motion",330,0.125,0.125,"DD"
1,"Post","Motion",340,0.45,0.45,"DD"
1,"Post","Motion",350,0.075,0.075,"DD"
1,"Post","Motion",360,0.275,0.275,"DD"
1,"Post","Motion",370,0,0,"DD"
1,"Post","Motion",380,0.3,0.3,"DD"
1,"Post","Motion",390,0.1,0.1,"DD"
1,"Post","Motion",400,0.175,0.175,"DD"
1,"Post","Motion",410,0.2,0.2,"DD"
1,"Post","Motion",420,0,0,"DD"
1,"Post","Motion",430,0,0,"DD"
1,"Post","Motion",440,0.125,0.125,"DD"
1,"Post","Motion",450,0.05,0.05,"DD"
1,"Post","Motion",460,0,0,"DD"
1,"Post","Motion",470,0.15,0.15,"DD"
1,"Post","Motion",480,0.475,0.475,"DD"
1,"Post","Motion",490,0.075,0.05,"DD"
1,"Post","Motion",500,0,0,"DD"
1,"Post","Motion",510,0.175,0.175,"DD"
1,"Post","Motion",520,0.55,0.55,"DD"
1,"Post","Motion",530,0.9,0.595,"DD"
1,"Post","Motion",540,1.325,0.78,"DD"
1,"Post","Motion",550,1.45,0.83,"DD"
1,"Post","Motion",560,0.65,0.455,"DD"
1,"Post","Motion",570,1.45,0.62,"DD"
1,"Post","Motion",580,2.725,0.635,"DD"
1,"Post","Motion",590,2.325,0.62,"DD"
1,"Post","Motion",600,3.175,0.355,"DD"
1,"Post","Motion",610,2.25,0.445,"DD"
1,"Post","Motion",620,2.15,0.515,"DD"
1,"Post","Motion",630,2.075,0.615,"DD"
1,"Post","Motion",640,1.3,0.465,"DD"
1,"Post","Motion",650,1.8,0.535,"DD"
1,"Post","Motion",660,2.1,0.555,"DD"
1,"Post","Motion",670,1.325,0.695,"DD"
1,"Post","Motion",680,1.125,0.515,"DD"
1,"Post","Motion",690,2,0.85,"DD"
1,"Post","Motion",700,0.1,0.06,"DD"
1,"Post","Motion",710,0.325,0.295,"DD"
1,"Post","Motion",720,0.5,0.205,"DD"
1,"Post","Motion",730,0.25,0.25,"DD"
1,"Post","Motion",740,0.125,0.1,"DD"
1,"Post","Motion",750,0.8,0.8,"DD"
1,"Post","Motion",760,1.375,0.85,"DD"
1,"Post","Motion",770,0.825,0.685,"DD"
1,"Post","Motion",780,0.4,0.4,"DD"
1,"Post","Motion",790,0.375,0.375,"DD"
1,"Post","Motion",800,0.225,0.195,"DD"
1,"Post","Motion",810,1,0.66,"DD"
1,"Post","Motion",820,1.675,0.84,"DD"
1,"Post","Motion",830,1.8,0.74,"DD"
1,"Post","Motion",840,1.275,0.83,"DD"
1,"Post","Motion",850,1.675,0.745,"DD"
1,"Post","Motion",860,0.15,0.1,"DD"
1,"Post","Motion",870,0.5,0.385,"DD"
1,"Post","Motion",880,0.7,0.575,"DD"
1,"Post","Motion",890,0.85,0.85,"DD"
1,"Post","Motion",900,0.525,0.395,"DD"
1,"Post","Motion",910,0.45,0.45,"DD"
1,"Post","Motion",920,0.75,0.55,"DD"
1,"Post","Motion",930,0.175,0.12,"DD"
1,"Post","Motion",940,0,0,"DD"
1,"Post","Motion",950,0.15,0.15,"DD"
1,"Post","Motion",960,0.4,0.28,"DD"
1,"Post","Motion",970,0.8,0.64,"DD"
1,"Post","Motion",980,0.325,0.325,"DD"
1,"Post","Motion",990,0.4,0.29,"DD"
1,"Post","Motion",1000,0.375,0.305,"DD"
1,"Post","Motion",1010,0.125,0.125,"DD"
1,"Post","Motion",1020,0.375,0.375,"DD"
1,"Post","Motion",1030,0,0,"DD"
1,"Post","Motion",1040,0.725,0.475,"DD"
1,"Post","Motion",1050,1.55,0.85,"DD"
1,"Post","Motion",1060,1.175,0.785,"DD"
1,"Post","Motion",1070,0.425,0.335,"DD"
1,"Post","Motion",1080,0.2,0.2,"DD"
1,"Post","Motion",1090,0.2,0.2,"DD"
1,"Post","Motion",1100,0.175,0.175,"DD"
1,"Post","Motion",1110,0,0,"DD"
1,"Post","Motion",1120,0.75,0.44,"DD"
1,"Post","Motion",1130,0.65,0.65,"DD"
1,"Post","Motion",1140,0.275,0.18,"DD"
1,"Post","Motion",1150,0,0,"DD"
1,"Post","Motion",1160,0,0,"DD"
1,"Post","Motion",1170,0.625,0.36,"DD"
1,"Post","Motion",1180,1.375,0.845,"DD"
1,"Post","Motion",1190,1.125,0.535,"DD"
1,"Post","Motion",1200,1.625,0.465,"DD"
1,"Post","Motion",1210,1,0.485,"DD"
1,"Post","Motion",1220,0.925,0.39,"DD"
1,"Post","Motion",1230,0.2,0.17,"DD"
1,"Post","Motion",1240,0.2,0.175,"DD"
1,"Post","Motion",1250,0.6,0.6,"DD"
1,"Post","Motion",1260,1,0.48,"DD"
1,"Post","Motion",1270,1.875,0.72,"DD"
1,"Post","Motion",1280,1.5,0.665,"DD"
1,"Post","Motion",1290,1.125,0.495,"DD"
1,"Post","Motion",1300,1.025,0.575,"DD"
1,"Post","Motion",1310,0.8,0.455,"DD"
1,"Post","Motion",1320,1.375,0.925,"DD"
1,"Post","Motion",1330,0.5,0.39,"DD"
1,"Post","Motion",1340,0.3,0.3,"DD"
1,"Post","Motion",1350,0.05,0.05,"DD"
1,"Post","Motion",1360,0.025,0.025,"DD"
1,"Post","Motion",1370,0,0,"DD"
1,"Post","Motion",1380,0.05,0.05,"DD"
1,"Post","Motion",1390,0,0,"DD"
1,"Post","Motion",1400,0,0,"DD"
1,"Post","Motion",1410,0.025,0.025,"DD"
1,"Post","Motion",1420,0.225,0.155,"DD"
1,"Post","Motion",1430,0.15,0.095,"DD"
1,"Shocks","Motion",0,0,0,"DD"
1,"Shocks","Motion",10,0,0,"DD"
1,"Shocks","Motion",20,0.2,0.125,"DD"
1,"Shocks","Motion",30,0,0,"DD"
1,"Shocks","Motion",40,0,0,"DD"
1,"Shocks","Motion",50,0.025,0.025,"DD"
1,"Shocks","Motion",60,0.1,0.1,"DD"
1,"Shocks","Motion",70,0.15,0.15,"DD"
1,"Shocks","Motion",80,0.35,0.35,"DD"
1,"Shocks","Motion",90,0.175,0.175,"DD"
1,"Shocks","Motion",100,0.075,0.075,"DD"
1,"Shocks","Motion",110,0,0,"DD"
1,"Shocks","Motion",120,0.125,0.125,"DD"
1,"Shocks","Motion",130,0,0,"DD"
1,"Shocks","Motion",140,0.1,0.1,"DD"
1,"Shocks","Motion",150,0,0,"DD"
1,"Shocks","Motion",160,0,0,"DD"
1,"Shocks","Motion",170,0.05,0.05,"DD"
1,"Shocks","Motion",180,0.475,0.295,"DD"
1,"Shocks","Motion",190,0.2,0.17,"DD"
1,"Shocks","Motion",200,0.45,0.45,"DD"
1,"Shocks","Motion",210,0,0,"DD"
1,"Shocks","Motion",220,0.05,0.05,"DD"
1,"Shocks","Motion",230,0.25,0.25,"DD"
1,"Shocks","Motion",240,0,0,"DD"
1,"Shocks","Motion",250,0,0,"DD"
1,"Shocks","Motion",260,0.35,0.35,"DD"
1,"Shocks","Motion",270,0,0,"DD"
1,"Shocks","Motion",280,0,0,"DD"
1,"Shocks","Motion",290,0.6,0.32,"DD"
1,"Shocks","Motion",300,0.65,0.445,"DD"
1,"Shocks","Motion",310,0.175,0.175,"DD"
1,"Shocks","Motion",320,0,0,"DD"
1,"Shocks","Motion",330,0,0,"DD"
1,"Shocks","Motion",340,0,0,"DD"
1,"Shocks","Motion",350,0,0,"DD"
1,"Shocks","Motion",360,0,0,"DD"
1,"Shocks","Motion",370,0,0,"DD"
1,"Shocks","Motion",380,0,0,"DD"
1,"Shocks","Motion",390,0,0,"DD"
1,"Shocks","Motion",400,0.025,0.025,"DD"
1,"Shocks","Motion",410,0.125,0.125,"DD"
1,"Shocks","Motion",420,0.175,0.175,"DD"
1,"Shocks","Motion",430,0.15,0.15,"DD"
1,"Shocks","Motion",440,0.125,0.125,"DD"
1,"Shocks","Motion",450,0,0,"DD"
1,"Shocks","Motion",460,0.075,0.055,"DD"
1,"Shocks","Motion",470,0,0,"DD"
1,"Shocks","Motion",480,0.15,0.15,"DD"
1,"Shocks","Motion",490,0,0,"DD"
1,"Shocks","Motion",500,0,0,"DD"
1,"Shocks","Motion",510,0,0,"DD"
1,"Shocks","Motion",520,0,0,"DD"
1,"Shocks","Motion",530,0.225,0.225,"DD"
1,"Shocks","Motion",540,0.875,0.615,"DD"
1,"Shocks","Motion",550,0.425,0.265,"DD"
1,"Shocks","Motion",560,0.725,0.725,"DD"
1,"Shocks","Motion",570,0.7,0.7,"DD"
1,"Shocks","Motion",580,0.325,0.325,"DD"
1,"Shocks","Motion",590,0.125,0.075,"DD"
1,"Shocks","Motion",600,0.525,0.47,"DD"
1,"Shocks","Motion",610,1.375,0.675,"DD"
1,"Shocks","Motion",620,2.45,0.945,"DD"
1,"Shocks","Motion",630,2.25,0.43,"DD"
1,"Shocks","Motion",640,2.275,0.515,"DD"
1,"Shocks","Motion",650,2,0.635,"DD"
1,"Shocks","Motion",660,1.975,0.355,"DD"
1,"Shocks","Motion",670,2.075,0.69,"DD"
1,"Shocks","Motion",680,1.475,0.485,"DD"
1,"Shocks","Motion",690,1.7,0.385,"DD"
1,"Shocks","Motion",700,0.625,0.17,"DD"
1,"Shocks","Motion",710,1.475,0.675,"DD"
1,"Shocks","Motion",720,1.225,0.67,"DD"
1,"Shocks","Motion",730,0.55,0.34,"DD"
1,"Shocks","Motion",740,0.725,0.32,"DD"
1,"Shocks","Motion",750,1.1,0.66,"DD"
1,"Shocks","Motion",760,1.075,0.61,"DD"
1,"Shocks","Motion",770,0.5,0.205,"DD"
1,"Shocks","Motion",780,0.275,0.245,"DD"
1,"Shocks","Motion",790,0.05,0.05,"DD"
1,"Shocks","Motion",800,0.725,0.5,"DD"
1,"Shocks","Motion",810,0.875,0.735,"DD"
1,"Shocks","Motion",820,0.625,0.51,"DD"
1,"Shocks","Motion",830,1.5,0.805,"DD"
1,"Shocks","Motion",840,1.875,0.76,"DD"
1,"Shocks","Motion",850,1.425,0.74,"DD"
1,"Shocks","Motion",860,1.3,0.845,"DD"
1,"Shocks","Motion",870,0.725,0.605,"DD"
1,"Shocks","Motion",880,0.325,0.295,"DD"
1,"Shocks","Motion",890,0.2,0.2,"DD"
1,"Shocks","Motion",900,0.35,0.325,"DD"
1,"Shocks","Motion",910,0.225,0.225,"DD"
1,"Shocks","Motion",920,0,0,"DD"
1,"Shocks","Motion",930,0,0,"DD"
1,"Shocks","Motion",940,0,0,"DD"
1,"Shocks","Motion",950,0.225,0.225,"DD"
1,"Shocks","Motion",960,0.875,0.445,"DD"
1,"Shocks","Motion",970,2.325,0.79,"DD"
1,"Shocks","Motion",980,2.1,0.845,"DD"
1,"Shocks","Motion",990,0.85,0.535,"DD"
1,"Shocks","Motion",1000,1.075,0.51,"DD"
1,"Shocks","Motion",1010,1.075,0.535,"DD"
1,"Shocks","Motion",1020,0.175,0.175,"DD"
1,"Shocks","Motion",1030,0.15,0.15,"DD"
1,"Shocks","Motion",1040,0.175,0.175,"DD"
1,"Shocks","Motion",1050,0.2,0.2,"DD"
1,"Shocks","Motion",1060,0,0,"DD"
1,"Shocks","Motion",1070,0,0,"DD"
1,"Shocks","Motion",1080,0.8,0.735,"DD"
1,"Shocks","Motion",1090,0.925,0.59,"DD"
1,"Shocks","Motion",1100,0.3,0.215,"DD"
1,"Shocks","Motion",1110,0.55,0.47,"DD"
1,"Shocks","Motion",1120,0.2,0.2,"DD"
1,"Shocks","Motion",1130,0,0,"DD"
1,"Shocks","Motion",1140,0,0,"DD"
1,"Shocks","Motion",1150,0.175,0.145,"DD"
1,"Shocks","Motion",1160,0.05,0.05,"DD"
1,"Shocks","Motion",1170,0.175,0.175,"DD"
1,"Shocks","Motion",1180,1.35,0.435,"DD"
1,"Shocks","Motion",1190,1.675,0.785,"DD"
1,"Shocks","Motion",1200,1.85,0.455,"DD"
1,"Shocks","Motion",1210,1.225,0.585,"DD"
1,"Shocks","Motion",1220,0.55,0.34,"DD"
1,"Shocks","Motion",1230,0.5,0.435,"DD"
1,"Shocks","Motion",1240,0,0,"DD"
1,"Shocks","Motion",1250,0.15,0.15,"DD"
1,"Shocks","Motion",1260,0.8,0.705,"DD"
1,"Shocks","Motion",1270,1.45,0.63,"DD"
1,"Shocks","Motion",1280,2.1,0.32,"DD"
1,"Shocks","Motion",1290,0.6,0.325,"DD"
1,"Shocks","Motion",1300,0.65,0.35,"DD"
1,"Shocks","Motion",1310,0.925,0.26,"DD"
1,"Shocks","Motion",1320,0.475,0.32,"DD"
1,"Shocks","Motion",1330,0.2,0.2,"DD"
1,"Shocks","Motion",1340,0.25,0.15,"DD"
1,"Shocks","Motion",1350,0.025,0.025,"DD"
1,"Shocks","Motion",1360,0.025,0.025,"DD"
1,"Shocks","Motion",1370,0,0,"DD"
1,"Shocks","Motion",1380,0.075,0.075,"DD"
1,"Shocks","Motion",1390,0,0,"DD"
1,"Shocks","Motion",1400,0,0,"DD"
1,"Shocks","Motion",1410,0.15,0.15,"DD"
1,"Shocks","Motion",1420,0.05,0.05,"DD"
1,"Shocks","Motion",1430,0.3,0.24,"DD"
1,"Baseline","Nest",0,0.77,0.54,"DD"
1,"Baseline","Nest",10,1.5,0.79,"DD"
1,"Baseline","Nest",20,1.15,0.44,"DD"
1,"Baseline","Nest",30,0.68,0.51,"DD"
1,"Baseline","Nest",40,0.4,0.3,"DD"
1,"Baseline","Nest",50,0.12,0.12,"DD"
1,"Baseline","Nest",60,0.57,0.31,"DD"
1,"Baseline","Nest",70,0.17,0.05,"DD"
1,"Baseline","Nest",80,0.08,0.03,"DD"
1,"Baseline","Nest",90,0.53,0.25,"DD"
1,"Baseline","Nest",100,0.98,0.26,"DD"
1,"Baseline","Nest",110,0.33,0.09,"DD"
1,"Baseline","Nest",120,0.17,0.09,"DD"
1,"Baseline","Nest",130,0.05,0.05,"DD"
1,"Baseline","Nest",140,0.43,0.18,"DD"
1,"Baseline","Nest",150,0.68,0.45,"DD"
1,"Baseline","Nest",160,0.45,0.32,"DD"
1,"Baseline","Nest",170,0.2,0.07,"DD"
