"Mouse","Behavior","Stage","first","parcial","total","porc"
7,"Motion","Shocks",FALSE,26,42.35,61.3931523022432
7,"Motion","Shocks",TRUE,16.35,42.35,38.6068476977568
7,"Nest","Baseline",FALSE,54.37,89.66,60.6401962971225
7,"Nest","Baseline",TRUE,35.29,89.66,39.3598037028775
7,"Nest","Post",FALSE,45.08,85.91,52.4735187987429
7,"Nest","Post",TRUE,40.83,85.91,47.5264812012571
7,"Nest","Shocks",FALSE,37.23,84.14,44.2476824340385
7,"Nest","Shocks",TRUE,46.91,84.14,55.7523175659615
8,"Food","Baseline",FALSE,6.83,9.63,70.9241952232606
8,"Food","Baseline",TRUE,2.8,9.63,29.0758047767394
8,"Food","Post",FALSE,9.08,12.01,75.6036636136553
8,"Food","Post",TRUE,2.93,12.01,24.3963363863447
8,"Food","Shocks",FALSE,10.24,15.7,65.2229299363057
8,"Food","Shocks",TRUE,5.46,15.7,34.7770700636943
8,"Motion","Baseline",FALSE,19.35,28.5,67.8947368421053
8,"Motion","Baseline",TRUE,9.15,28.5,32.1052631578947
8,"Motion","Post",FALSE,17.95,28.1,63.8790035587189
8,"Motion","Post",TRUE,10.15,28.1,36.1209964412811
8,"Motion","Shocks",FALSE,20.275,33.975,59.6762325239146
8,"Motion","Shocks",TRUE,13.7,33.975,40.3237674760854
8,"Nest","Baseline",FALSE,33.02,54.23,60.8888069334317
8,"Nest","Baseline",TRUE,21.21,54.23,39.1111930665683
8,"Nest","Post",FALSE,32.48,64.21,50.5840211805015
8,"Nest","Post",TRUE,31.73,64.21,49.4159788194985
8,"Nest","Shocks",FALSE,37.13,64.12,57.9070492825951
8,"Nest","Shocks",TRUE,26.99,64.12,42.0929507174049
